AEQ,Air Express,LUNA,Sweden
AAI,Air Aurora,BOREALIS,United States
ACU,Air Cargo Transportation System,AFRISPIRIT,Kenya
ADC,Air Atlantic Dominicana,ATLAN-DOMINICAN,Dominican Republic
ADW,Air Andaman,AIR ANDAMAN,Thailand
AEA,Air Europa,EUROPA,Spain
AEY,Air Italy,AIR ITALY,Italy
ASW,Air Southwest Ltd.,AIRSOUTHWEST,Canada
ASX,Air Special,AIRSPEC,Czech Republic
AMU,Air Macau,AIR MACAO,Macao
AMW,Air Midwest,AIR MIDWEST,United States
SEY,Air Seychelles,SEYCHELLES,Seychelles
SFB,Air Sofia,AIR SOFIA,Bulgaria
BRF,Air Bravo,AIR BRAVO,Uganda
AFR,Air France,AIRFRANS,France
ACG,Air Partner,AIR PARTNER,United Kingdom
ACI,Air Caledonie,AIRCALIN,France
VSG,AirClass Airways,VISIG,Spain
AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan
ALM,Air ALM,ANTILLEAN,Netherlands Antilles
ALN,Air Lincoln,CHICAGO LINCOLN,United States
ACM,Air Caledonia,WEST CAL,Canada
AGM,Air Guam,AIR GUAM,United States
AWI,Air Wisconsin,AIR WISCONSIN,United States
ALU,Air Luxor STP,LUXORJET,São Tomé and Príncipe
RSI,Air Sunshine,AIR SUNSHINE,United States
AGN,Air Gabon,GOLF NOVEMBER,Gabon
AFV,Air Afrique Vacancies,AFRIQUE VACANCE,Côte d'Ivoire
AJX,Air Japan,AIR JAPAN,Japan
LIB,Air Liberté,AIR LIBERTE,France
KLA,Air Lithuania,KAUNAS,Lithuania
AMG,Air Minas Linhas Aéreas,AIR MINAS,Brazil
ANT,Air North Charter - Canada,AIR NORTH,Canada
ANV,Air Nevada,AIR NEVADA,United States
ANZ,Air New Zealand,NEW ZEALAND,New Zealand
AMI,Air Maldives,AIR MALDIVES,Maldives
AML,Air Malawi,MALAWI,Malawi
AMN,Air Montenegro,MONTENEGRO,Montenegro
BIE,Air Mediterranee,MEDITERRANEE,France
TAH,Air Moorea,AIR MOOREA,France
AVZ,Air Valencia,AIR VALENCIA,Spain
AMO,Air Montreal (Air Holdings Inc.),AIR MONTREAL,Canada
AMR,Air Specialties Corporation,AIR AM,United States
AMS,Air Muskoka,AIR MUSKOKA,Canada
AJU,Air Jetsul,AIRJETSUL,Portugal
LIV,Air Livonia,LIVONIA,Estonia
ABL,Air BC,AIRCOACH,Canada
LJA,Air Jamahiriya Company,AIR JAMAHIRIYA,Libya
AGV,Air Glaciers,AIR GLACIERS,Switzerland
MVM,Air Cargo America,PEGASUS,United States
AMY,Air Ambar,AIR AMBAR,Dominican Republic
VGA,Air Vegas,AIR VEGAS,United States
AOU,Air Tractor,AIR TRACTOR,Croatia
APA,Air Park Aviation Ltd.,CAN-AM,Canada
APG,Air People International,AIR PEOPLE,Thailand
ANA,All Nippon Airways,ALL NIPPON,Japan
ANB,Air Navigation And Trading Co. Ltd.,AIR NAV,United Kingdom
NGO,Air-Angol,AIR ANGOL,Angola
TWG,air-taxi europe,TWINGOOSE,Germany
NGP,Air Nigeria,REGAL EAGLE,Nigeria
SNC,Air Cargo Carriers,NIGHT CARGO,United States
SND,Air Samarkand,ARSAM,Uzbekistan
SNG,Air Senegal International,AIR SENEGAL,Senegal
SNY,Air Sandy,AIR SANDY,Canada
AII,Air Integra,INTEGRA,Canada
BFF,Air Baffin,AIR BAFFIN,Canada
BDM,Air Bandama,BANDAMA,Ivory Coast
BER,Air Berlin,AIR BERLIN,Germany
ABT,Air Brousse,AIR BROUSSE,Canada
APV,Air Plan International,AIR PLAN,Democratic Republic of the Congo
ARX,Air Xpress, Inc.,AIREX,United States
HTT,Air Tchad,HOTEL TANGO,Chad
ARZ,Air Resorts,AIR RESORTS,United States
ASB,Air-Spray 1967 Ltd.,AIR SPRAY,Canada
ASC,Air Star Corporation,AIR STAR,Canada
ASD,Air Sinai,AIR SINAI,Egypt
AQN,Air Queensland,BUSHAIR,Australia
ARR,Air Armenia,AIR ARMENIA,Armenia
ABR,Air Contractors,CONTRACT,Ireland
AIL,Air Illinois,AIR ILLINOIS,United States
AIC,Air India,AIRINDIA,India
SPM,Air Saint Pierre,SAINT-PIERRE,France
WOW,Air Southwest,SWALLOW,United Kingdom
ATJ,Air Traffic GmbH,SNOOPY,Germany
ATN,Air Transport International,AIR TRANSPORT,United States
ATQ,Air Transport Schiphol,MULTI,Netherlands
AVG,Air Falcon,DJIBOUTI FALCON,Djibouti
AVN,Air Vanuatu,AIR VAN,Vanuatu
BUB,Air Bourbon,BOURBON,Reunion
ABD,Air Atlanta Icelandic,ATLANTA,Iceland
AIE,Air Inuit,AIR INUIT,Canada
AIS,Air Sureste,SURESTE,Spain
SBK,Air Srpska,Air Srpska,Bosnia and Herzegovina
THT,Air Tahiti Nui,TAHITI AIRLINES,France
NMB,Air Namibia,NAMIBIA,Namibia
NSK,Air Intersalonika,INTERSALONIKA,Greece
NTL,Air Anatolia,AIR ANATOLIA,Turkey
SGA,Air Saigon,AIR SAIGON,Vietnam
AFW,Afrique Regional Airways,AFRAIR,Côte d'Ivoire
AFW,Africa World Airlines,BLACKSTAR,Ghana
ACX,Air Charters,PARAIR,Canada
AEL,Air Europe Italy,AIR EUROPE,Italy
AJM,Air Jamaica,JAMAICA,Jamaica
AWN,Air Niamey,AIR NIAMEY,Niger
AWT,Air West,AIR WEST,Canada
AWW,Air Wales,RED DRAGON,United Kingdom
FWI,Air Caraïbes,FRENCH WEST,France
AXB,Air India Express,EXPRESS INDIA,India
AXD,Air Express,AIR SUDEX,Sudan
BSB,Air Wings,ARBAS,Moldova
BTI,Air Baltic,AIRBALTIC,Latvia
ANI,Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria
ANK,Air Nippon,ANK AIR,Japan
ANE,Air Nostrum,AIR NOSTRUM,Spain
ANG,Air Niugini,NUIGINI,Papua New Guinea
ABY,Air Arabia,ARABIA,United Arab Emirates
ACA,Air Canada,AIR CANADA,Canada
ADH,Air One,HERON,Italy
MHS,Air Memphis,AIR MEMPHIS,Egypt
AXL,Air Exel,EXEL COMMUTER,Netherlands
AZF,Air Zermatt AG,AIR ZERMATT,Switzerland
AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe
MHU,Air Memphis,MEPHIS UGANDA,Uganda
MKH,Air Marrakech Service,AIR MARRAKECH,Morocco
AZX,Air Max Africa,AZIMA,Gabon
RSH,Air Sahara,SAHARA,India
ATC,Air Tanzania,TANZANIA,Tanzania
VBW,Air Burkina,BURKINA,Burkina Faso
ATH,Air Travel Corp.,AIR TRAVEL,United States
AMC,Air Malta,AIR MALTA,Malta
TGA,Air Togo,AIR TOGO,Togo
ASJ,Air Satellite,SATELLITE,Canada
ASS,Air Class, S.A. de C.V.,AIR CLASS,Mexico
NPL,Air Nepal International,AIR NEPAL,Nepal
WAM,Air Taxi & Cargo,TAXI CARGO,Sudan
RSM,Air Somalia,AIR SOMALIA,Somali Republic
AAY,Allegiant Air,ALLEGIANT,United States
AAZ,Angus Aviation,ANGUS,Canada
ABA,Artem-Avia,ARTEM-AVIA,Ukraine
ABB,African Business and Transportations,AFRICAN BUSINESS,Democratic Republic of the Congo
ABE,Aban Air,ABAN,Iran
ABF,Aerial Oy,SKYWINGS,Finland
ABG,Abakan-Avia,ABAKAN-AVIA,Russia
TUS,ABSA Cargo,Turismo,Brazil
ABK,Alberta Citylink,ALBERTA CITYLINK,Canada
ABO,APSA Colombia,AEROEXPRESO,Colombia
ABU,Aerovías Bueno,AEROBUENO,Colombia
ACR,Aerocenter, Escuela de Formación de Pilotos Privados de Avión,AEROCENTER,Spain
ABV,Antrak Air,ANTRAK,Ghana
ABX,Airborne Express,ABEX,United States
ABX,ABX Air,ABEX,United States
ABZ,ATA Brasil,ATA-BRAZIL,Brazil
ACD,Academy Airlines,ACADEMY,United States
ACP,Astral Aviation,ASTRAL CARGO,Kenya
ACY,Atlas Cargo Airlines,ATLAS CARGOLINES,Morocco
ADA,Airservices Australia,AUSCAL,Australia
ADB,Antonov Airlines,ANTONOV BUREAU,Ukraine
ADE,Ada Air,ADA AIR,Albania
ADG,Aerea Flying Training Organization,AEREA TRAINING,Spain
ADI,Audeli Air,AUDELI,Spain
ADJ,Abidjan Air Cargo,ABICAR,Côte d'Ivoire
ADK,ADC Airlines,ADCO,Nigeria
ADL,Aero Dynamics,COTSWOLD,United Kingdom
ADM,Dominair,DOMINAIR,Dominican Republic
ADN,Aerodienst GmbH,AERODIENST,Germany
ADP,Aerodiplomatic,AERODIPLOMATIC,Mexico
ADY,Aerodyne,AERODYNE,United States
ADQ,Avion Taxi,AIR DATA,Canada
ADR,Adria Airways,ADRIA,Slovenia
ADS,Aviones de Sonora,SONORAV,Mexico
ADU,Airdeal Oy,AIRDEAL,Finland
ADV,Advance Air Charters,ADVANCE,Canada
AEB,Aero Benin,AEROBEN,Benin
AEC,Aerocésar,AEROCESAR,Colombia
ADX,Anderson Aviation,ANDAX,United States
AEE,Aegean Airlines,AEGEAN,Greece
AEG,Aerofumigaciones Sam,FUMIGACIONES SAM,Chile
GLG,Aerogal,AEROGAL,Ecuador
AEI,Aeroexpreso Interamericano,INTERAM,Colombia
AEJ,Air Express,KHAKI EXPRESS,Tanzania
AEK,Aerocon,AEROCON,Bolivia
AEM,Aero Madrid,AEROMADRID,Spain
AEN,Air Enterprise,AIR ENTERPRISE,France
AEO,Aeroservicios Ejecutivos Del Occidente,AERO OCCIDENTE,Mexico
AEP,Aerotec Escuela de Pilotos,AEROTEC,Spain
AER,Alaska Central Express,ACE AIR,United States
AES,ACES Colombia,ACES,Colombia
AAH,Aloha Air Cargo,ALOHA,United States
AAK,Alaska Island Air,ALASKA ISLAND,United States
AAL,American Airlines,AMERICAN,United States
AAA,Ansett Australia,ANSETT,Australia
AAC,Army Air Corps,ARMYAIR,United Kingdom
AEU,Astraeus,FLYSTAR,United Kingdom
AEV,Aeroventas,AEROVENTAS,Mexico
AEW,Aerosvit Airlines,AEROSVIT,Ukraine
AEX,Airway Express,AVCO,United States
AEZ,Aerial Transit,AERIAL TRANZ,United States
AFA,Alfa Air,BLUE ALFA,Czech Republic
AFB,American Falcon,AMERICAN FALCON,Argentina
UTY,Alliance Airlines,UNITY,Australia
UVS,Air Universal,UNI-LEONE,Sierra Leone
UVT,Auvia Air,AUVIA,Indonesia
AFC,African West Air,AFRICAN WEST,Senegal
AFE,Airfast Indonesia,AIRFAST,Indonesia
AFG,Ariana Afghan Airlines,ARIANA,Afghanistan
AFI,Africaone,AFRICAWORLD,The Gambia
AFJ,Alliance Air,JAMBO,Uganda
AFK,Africa Air Links,AFRICA LINKS,Sierra Leone
AFL,Aeroflot Russian Airlines,AEROFLOT,Russia
AFO,Aero Empresa Mexicana,AERO EMPRESA,Mexico
AFQ,Alba Servizi Aerotrasporti,ALBA,Italy
AFY,Africa Chartered Services,AFRICA CHARTERED,Nigeria
AFZ,Africa Freight Services,AFREIGHT,Zambia
AGC,Air Australia,STRATEGIC,Australia
AGF,Atlantic Gulf Airlines,ATLANTIC GULF,United States
SLI,Aerolitoral,COSTERA,Mexico
AGG,Algoma Airways,ALGOMA,Canada
AGH,Altagna,ALTAGNA,France
AGO,Angola Air Charter,ANGOLA CHARTER,Angola
AGP,AERFI Group,AIR TARA,Ireland
AGQ,Aerogala,GALASERVICE,Chile
AGT,Amadeus Global Travel Distribution,AMADEUS,Spain
AGU,Angara Airlines,SARMA,Russia
AGW,Aero Gambia,AERO GAMBIA,Gambia
AGX,Aviogenex,GENEX,Serbia
BLR,Atlantic Coast Airlines,BLUE RIDGE,United States
BLZ,Aero Barloz,AEROLOZ,Mexico
PLI,Aeroperú,Aeroperu,Peru
BMM,Atlas Blue,ATLAS BLUE,Morocco
BNB,Aero Banobras,AEROBANOBRAS,Mexico
AGY,Aero Flight Service,FLIGHT GROUP,United States
AGZ,Agrolet-Mci,AGROLET,Slovakia
AHA,Air Alpha Greenland,AIR ALPHA,Denmark
AHC,Azal Avia Cargo,AZALAVIACARGO,Azerbaijan
AHE,Airport Helicopter Basel, Muller & Co.,AIRPORT HELICOPTER,Switzerland
CJE,Aeroservices Corporate,BIRD JET,France
AHF,Aspen Helicopters,ASPEN,United States
AHG,Aerochago Airlines,AEROCHAGO,Dominican Republic
AHH,Airplanes Holdings,AIRHOLD,Ireland
AHP,Aerochiapas,AEROCHIAPAS,Mexico
AHU,ABC Air Hungary,ABC HUNGARY,Hungary
AHW,Aeromist-Kharkiv,AEROMIST,Ukraine
AHY,Azerbaijan Airlines,AZAL,Azerbaijan
AIA,Avies,AVIES,Estonia
AIB,Airbus Industrie,AIRBUS INDUSTRIE,France
AIH,Alpine Air Chile,ALPINE CHILE,Chile
AIJ,ABC Aerolíneas,ABC AEROLINEAS,Mexico
AIK,African Airlines International Limited,AFRICAN AIRLINES,Kenya
AIN,African International Airways,FLY CARGO,Swaziland
AIP,Alpine Air Express,ALPINE AIR,United States
AIU,Alicante Internacional Airlines,ALIA,Spain
ABP,ABS Jets,BAIR,Czech Republic
ABQ,Airblue,PAKBLUE,Pakistan
THM,Airmark Aviation,THAI AIRMARK,Thailand
AIR,Airlift International,AIRLIFT,United States
AIV,Airvias S/A Linhas Aéreas,AIRVIAS,Brazil
BES,Aero Services Executive,BIRD EXPRESS,France
AIW,Atlantic Island Airways,TARTAN,Canada
AIX,Aircruising Australia,CRUISER,Australia
AIY,Aircrew Check and Training Australia,AIRCREW,Australia
AIZ,Arkia Israel Airlines,ARKIA,Israel
AJA,Afghan Jet International Airlines,AFGHAN JET,Afghanistan
AJB,Aero JBR,AERO JBR,Mexico
AJE,Aero Jet Express,JET EXPRESS,Mexico
AJF,Avia Consult Flugbetriebs,AVIACONSULT,Austria
AJI,Ameristar Jet Charter,AMERISTAR,United States
AJJ,A2 Jet Leasing,ATLANTIC JET,United States
AJK,Allied Air,BAMBI,Nigeria
AJO,Aero Ejecutivo,AEROEXO,Mexico
AJP,Aero Jets Corporativos,AEROJETS,Mexico
AJS,Aeroejecutivos Colombia,AEROEJECUTIVOS,Colombia
AJT,Amerijet International,AMERIJET,United States
AJV,ANA & JP Express,AYJAY CARGO,Japan
AJW,Alpha Jet International,ALPHAJET,United States
AJY,AJet,AYJET,Cyprus
AKB,Aktjubavia,KARAB,Kazakhstan
AKC,Arca Aerovías Colombianas Ltda.,ARCA,Colombia
AKF,Anikay Air Company,ANIKAY,Kyrgyzstan
AKH,Akhal,AKHAL,Turkmenistan
MNI,Aeromilenio,AEROMIL,Mexico
AKK,Aklak Air,AKLAK,Canada
AKN,Alkan Air,ALKAN AIR,Canada
AKW,Angkor Airways,ANGKORWAYS,Cambodia
AKZ,AK Navigator LLC,ABSOLUTE,Kazakhstan
ALB,Aero Albatros,ALBATROS,Mexico
ALD,Albion Aviation,ALBION,United Kingdom
ALE,Aeroalas Colombia,AEROALAS,Colombia
ALF,Allied Command Europe (Mobile Force),ACEFORCE,Belgium
BTS,Aerotaxis Albatros,AEROLINEAS ALBATROS,Mexico
FYS,American Flyers,AMERICAN FLYERS,United States
DFA,Aero Coach Aviation,AERO COACH,United States
ASQ,Atlantic Southeast Airlines,ACEY,United States
BVR,ACM Air Charter,BAVARIAN,Germany
ALG,Air Logistics,AIRLOG,United States
ALL,Aerovallarta,VALLARTA,Mexico
AWE,America West Airlines,CACTUS,United States
TNO,Aerotransporte de Carga Union,AEROUNION,Mexico
TND,Aero Taxis Cessna,TAXIS CESSNA,Mexico
TMP,Arizona Express Airlines,TEMPE,United States
ALO,Allegheny Commuter Airlines,ALLEGHENY,United States
ALP,Allpoints Jet,ALLPOINTS,China
ALP,Alpliner AG,ALPINER,Switzerland
ALQ,Altair Aviation (1986),ALTAIR,Canada
ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela
ALW,Alas Nacionales, S.A.,ALNACIONAL,Dominican Republic
ALY,Alyeska Air Service,ALYESKA,United States
AMA,ATMA,ADIK,Kazakhstan
AMD,Aerolíneas Medellín,AEROLINEAS MEDELLIN,Colombia
AMF,Ameriflight,AMFLIGHT,United States
AMH,Alan Mann Helicopters Ltd.,MANN,United Kingdom
AMJ,Aviation Amos,AVIATION AMOS,Canada
AMK,Amerer Air,AMER AIR,Austria
AMM,Aeroputul International Marculesti,AEROM,Moldova
AMP,Aero Transporte S.A. (ATSA),ATSA,Peru
AMQ,Aeromedicare Ltd.,LIFELINE,United Kingdom
AMQ,Aircraft Management and Consulting,AMEX,Poland
AMT,ATA Airlines,AMTRAN,United States
AMX,Aeroméxico,AEROMEXICO,Mexico
AMZ,Amiya Airline,AMIYA AIR,Nigeria
ANC,Anglo Cargo,ANGLO,United Kingdom
BRP,AeroBratsk,AEROBRA,Russia
ANH,Alajnihah for Air Transport,ALAJNIHAH,Libya
ANM,Aerotransportacion de Norteamerica,NORAM,Mexico
ANM,Antares Airtransport, Maintenance & Service GmbH,ANTARES,Germany
ANO,Airnorth,TOPEND,Australia
ANQ,Aerolínea de Antioquia,ANTIOQUIA,Colombia
ANS,Andes Líneas Aéreas,AEROANDES,Argentina
AOM,AOM French Airlines,French Lines,France
ANW,Aviación Del Noroeste, S.A. de C.V.,AVINOR,Mexico
SAP,Avia Jaynar,TOBOL,Kazakhstan
EMS,Aero Servicios Empresariales,SERVIEMPRESARIAL,Mexico
AOA,Alcon Servicios Aéreos, S.A. de C.V.,ALCON,Mexico
AOC,AVCOM,AERO AVCOM,Russia
AOD,Aero Vodochody,AERO CZECH,Czech Republic
AOF,Atair Pty Ltd.,ATAIR,South Africa
AOG,Aero VIP,AVIP,Argentina
MUN,Aeromundo Ejecutivo,AEROMUNDO,Mexico
MUR,Aerolínea Muri,MURI,Mexico
AOI,Astoria, Inc.,ASTORIA,Canada
NRO,Aero Rent JSC,AEROMASTER,Russia
NRP,Aeronord-Grup,AERONORD,Moldova
AOL,Angkor Airlines,ANGKOR AIR,Cambodia
AON,Aero Entreprise,AERO ENTERPRISE,France
AOO,As, Opened Joint Stock Company,COMPANY AS,Ukraine
AOP,Aeropiloto,AEROPILOTO,Portugal
VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico
VIZ,Aerovis Airlines,AEROVIZ,Ukraine
VGF,Aerovista Gulf Express,VISTA GULF,United Arab Emirates
VER,Almaver,ALMAVER,Mexico
AOR,Afro International Ent. Limited,INTER-AFRO,Nigeria
SMX,Alitalia Express,ALIEXPRESS,Italy
AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines
AOV,Aero Vision,AEROVISION,France
AOX,Aerotaxi Del Valle,AEROVALLE,Colombia
APC,Airpac Airlines, Inc.,AIRPAC,United States
SVM,Aeroservicios Monterrey,SERVIMONTE,Mexico
APF,Amapola Flyg AB,AMAPOLA,Sweden
APH,Alpha Aviation, Inc.,AIRFLIGHT,United States
API,ASA Pesada, Lda.,ASA PESADA,Angola
APJ,Air Print, S.A.,AIR PRINT,Luxembourg
PET,Aerotransporte Petrolero,AEROPETRO,Colombia
ARF,Aero Flight,Aero Fox,Germany
BJT,ACM Aviation,BAY JET,United States
BKL,Aircompany Barcol,BARCOL,Russia
BLA,All Charter Limited,ALL CHARTER,United Kingdom
APL,Appalachian Flying Service, Inc.,APPALACHIAN,United States
APM,Airpac, Inc.,ALASKA PACIFIC,United States
APO,Aeropro,AEROPRO,Canada
APP,Aerolíneas Pacífico Atlántico, S.A. (Apair),AEROPERLAS,Panama
APQ,Aspen Aviation,ASPEN BASE,United States
APU,Aeropuma, S.A.,AEROPUMA,El Salvador
APW,Arrow Air,BIG A,United States
APX,Apex Air Cargo,PARCEL EXPRESS,United States
APY,APA Internacional,APA INTERNACIONAL,Dominican Republic
AQA,Aeroatlas, S.A.,ATCO,Colombia
AQL,Aquila Air Ltd.,AQUILA,Canada
AQO,Aluminum Company Of America,ALCOA SHUTTLE,United States
AQT,Aviones de Renta de Quintana Roo, S.A. de C.V.,AVIOQUINTANA,Mexico
AQU,AirQuarius Aviation,QUARIUS,South Africa
AQZ,Aerodyne Charter Company,QUANZA,United States
ARA,Arik Air,ARIK AIR,Nigeria
ARB,Avia Air N.V.,AVIAIR,Aruba
ARD,Aerocondor,AEROCONDOR,Portugal
ARE,Aires, Aerovías de Integración Regional, S.A.,AIRES,Colombia
ARG,Aerolineas Argentinas,ARGENTINA,Argentina
ARH,Arrowhead Airways,ARROWHEAD,United States
ARI,Aero Vics,AEROVICS,Mexico
SUO,Aeroservicios De San Luis,SERVICIO SANLUIS,Mexico
SUP,Aerosuper,AEROSUPER,Mexico
ARK,Aero Link Air Services S.L.,LINK SERVICE,Spain
ARL,Airlec - Air Aquitaine Transport,AIRLEC,France
ARM,Aeromarket Express,AMEX,Spain
ARO,Arrow Aviation Ltd.,ARROW,Canada
KLD,Air Klaip?da,AIR KLAIPEDA,Lithuania
ARQ,Armstrong Air, Inc.,ARMSTRONG,Canada
ARS,Aeromet Servicios,METSERVICE,Chile
ART,Aerotal Aerolíneas Territoriales de Colombia Ltda.,AEROTAL,Colombia
ARV,Aravco Ltd.,ARAVCO,United Kingdom
ARW,Aria,ARIABIRD,France
OST,Airline Alania,ALANIA,Russia
HUC,Aerolíneas de Techuacán,LINEAS TEHUACAN,Mexico
HUT,Aerotransportes Huitzilin,AEROHUITZILIN,Mexico
HUY,Aero Transportes Del Humaya,AERO HUMAYA,Mexico
ARY,Argosy Airways,GOSEY,United States
ASA,Alaska Airlines, Inc.,ALASKA,United States
ASE,Airstars,MOROZOV,Russia
ASF,Air Schefferville, Inc.,SCHEFF,Canada
ASG,African Star Airways (PTY) Ltd.,AFRICAN STAR,South Africa
ASI,Aerosun International, Inc.,AEROSUN,United States
ASM,Awesome Flight Services (PTY) Ltd.,AWESOME,South Africa
ASO,Aero Slovakia,AERO NITRA,Slovakia
ASP,Airsprint,AIRSPRINT,Canada
ASR,All Star Airlines, Inc.,ALL STAR,United States
AST,Aerolíneas Del Oeste,AEROESTE,Mexico
NRE,Aviones Are,AVIONES ARE,Mexico
WAP,Arrow Panama,ARROW PANAMA,Panama
ASV,Astravia-Bissau Air Transports Ltd.,ASTRAVIA,Guinea-Bissau
ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia
ATB,Atlantair Ltd.,STARLITE,Canada
ATD,Aerotours Dominicana,AEROTOURS,Dominican Republic
ATE,Atlantis Transportation Services, Ltd.,ATLANTIS CANADA,Canada
ATG,Aerotrans Airline,BACHYT,Kazakhstan
ATK,AeroTACA,AEROTACA,Colombia
ATM,Airlines of Tasmania,AIRTAS,Australia
CPV,Air Corporate,AIRCORPORATE,Italy
ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.,ASTRAL,Colombia
FEO,Aeroferinco,FERINCO,Mexico
FES,Aero Taxis Y Servicios Alfe,AERO ALFE,Mexico
FFA,Avialesookhrana,AVIALESOOKHRANA,Russia
FFB,Africair Service,FOXTROT FOXTROT,Senegal
ATR,Atlas Airlines,ATLAS-AIR,United States
ATT,Aer Turas,AERTURAS,Ireland
ATU,Atlant Aerobatics Ltd.,ATLANT HUNGARY,Hungary
ATV,Avanti Air,AVANTI AIR,Germany
ATW,Aero Trades (Western) Ltd.,AERO TRADES,Canada
AUA,Austrian Airlines,AUSTRIAN,Austria
AUB,Augsburg Airways,AUGSBURG-AIR,Germany
TUP,Aviastar-Tu,TUPOLEVAIR,Russia
ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia
TXU,ATESA Aerotaxis Ecuatorianos,ATESA,Ecuador
TXX,Austin Express,COWBOY,United States
AUD,Audi Air, Inc.,AUDI AIR,United States
AUF,Augusta Air Luftfahrtunternehmen,AUGUSTA,Germany
AUH,Abu Dhabi Amiri Flight,SULTAN,United Arab Emirates
AUL,Nordavia,ARCHANGELSK AIR,Russia
AUM,Air Atlantic Uruguay,ATLAMUR,Uruguay
AUN,Aviones Unidos,AVIONES UNIDOS,Mexico
